timestamp,source_ip,username,hostname,event_type,status,severity,action,resource,synthetic
2026-09-10T00:00:00Z,10.0.4.12,admin,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T01:01:00Z,203.0.113.88,dave.analyst,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T02:02:00Z,198.51.100.44,admin,CORP-DC01,process_spawn,FAILURE,HIGH,execute,/admin,True
2026-09-10T03:03:00Z,203.0.113.88,dave.analyst,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T04:04:00Z,192.168.1.105,admin,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T05:05:00Z,10.0.4.12,alice.smith,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T06:06:00Z,198.51.100.44,bob.jones,CORP-DB01,login,FAILURE,CRITICAL,authenticate,/admin,True
2026-09-10T07:07:00Z,192.168.1.50,charlie.root,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T08:08:00Z,192.168.1.50,dave.analyst,CORP-WKST04,login,FAILURE,LOW,authenticate,/dashboard,True
2026-09-10T09:09:00Z,192.168.1.105,admin,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T10:10:00Z,10.0.4.12,dave.analyst,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T11:11:00Z,192.168.1.50,bob.jones,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T12:12:00Z,192.168.1.105,alice.smith,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T13:13:00Z,203.0.113.88,dave.analyst,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T14:14:00Z,192.168.1.105,admin,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T15:15:00Z,192.168.1.105,admin,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T16:16:00Z,198.51.100.44,charlie.root,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T17:17:00Z,192.168.1.105,alice.smith,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T18:18:00Z,203.0.113.88,charlie.root,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T19:19:00Z,203.0.113.88,alice.smith,CORP-DC01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T20:20:00Z,192.168.1.105,alice.smith,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T21:21:00Z,198.51.100.44,charlie.root,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T22:22:00Z,192.168.1.50,svc_backup,CORP-DC01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T23:23:00Z,10.0.4.12,svc_backup,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T00:24:00Z,198.51.100.44,charlie.root,CORP-APP02,login,FAILURE,HIGH,authenticate,/admin,True
2026-09-10T01:25:00Z,203.0.113.88,alice.smith,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T02:26:00Z,203.0.113.88,svc_backup,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T03:27:00Z,203.0.113.88,svc_backup,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T04:28:00Z,10.0.4.12,admin,CORP-APP02,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T05:29:00Z,203.0.113.88,alice.smith,CORP-DC01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T06:30:00Z,203.0.113.88,admin,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T07:31:00Z,192.168.1.105,svc_backup,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T08:32:00Z,192.168.1.105,svc_backup,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T09:33:00Z,10.0.4.12,dave.analyst,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T10:34:00Z,192.168.1.50,alice.smith,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T11:35:00Z,192.168.1.50,admin,CORP-DC01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T12:36:00Z,10.0.4.12,admin,CORP-WKST04,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T13:37:00Z,192.168.1.105,charlie.root,CORP-DB01,login,SUCCESS,LOW,authenticate,/dashboard,True
2026-09-10T14:38:00Z,198.51.100.44,charlie.root,CORP-DC01,login,SUCCESS,LOW,authenticate,/dashboard,True
